name,nomer,address,kota,keyword,is_wa,sudah,
Warung Sate & Gule Kambing Bang Saleh,0341364228,"Jl. Ade Irma Suryani No.42, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,,
warung sate gule bang said spesial lalapan kambing goreng,08170513417,"Jl. Arif Margono Gg. 8 No.1673, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,ada,
Warung Sate & Gule Kambing Bang Saleh,081805075588,"Jl. Sarangan No.9a, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
Warung sate dan gule kambing H. Latip,0341472693,"Jl. Letjend S. Parman No.82, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
Warung Sate Ayam / kambing Pak Sabar,085234591995,"Jl. Mayjend Panjaitan No.Kav 1, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",kota malang,warung kambing,ada,
"Warung Sate Gule Kambing ""BAROKAH""",085100657323,"2M96+2JV, Jl. Ki Ageng Gribig, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138",kota malang,warung kambing,tidak,
"Warung Sate & Gule Kambing "" Pak Hari """,087854445045,"Jl. Bandulan No.117, Bandulan, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,ada,
Warung Sate Kambing Rachmad,,"Jl. Besar Ijen No.70-60, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,,
Warung Sate & Gule Kambing Bang Saleh,034164228,"Jl. SP. Sudarmo No.42, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,warung kambing,,
Warung Sate dan Gule Kambing AL-MARGANI (Sate Klaseman),,"Jl. Raya Candi II No.6-14, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Warung Sate-Kambing Abah Acil,,"3J44+C3C, Jalan Tlogomas, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,,
Warung Sate Nikmat Kambing & Ayam,082143672511,"Jl. Laksda Adi Sucipto No.37, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,ada,
Warung Sate Kambing Sate Ayam Gule Mergan,085706464076,"2J87+GJG, Jl. Jupri, Tanjungrejo, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,tidak,
Sate Gule Kambing Tri Margo,087859694880,"2JGH+W9R, Jl. Brigjend Slamet Riadi, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,ada,
Warung Sate Gule Kambing Muda Ning Gopa,081222521871,"Jl. Danau Jonge, Madyopuro, H7D25, Kota Malang, Jawa Timur 65139",kota malang,warung kambing,ada,
Sate Kambing Bang Elyas,0341353970,"Jl. Arif Margono No.28a, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,,
Warung Sate dan Gule Cak Ran,081249537388,"Jl. Bogor No.28, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",kota malang,warung kambing,tidak,
Sate Dan Gule Kambing Bang Fais,,"2JCP+FVC, Jl. Trunojoyo, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,,
Sate Kambing dan Ayam Pak Agus,085655674383,"3H5W+QFR, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,tidak,
Warung Sate Gule 89,085100091221,"Jl. Brigjend Slamet Riadi No.89, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,ada,
Sate Kambing Gulai Pak Wito,0341417897,"Jl. Laksda Adi Sucipto No.40, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
warung sate ayam dan kambing bu saenap,087751344133,"3J87+P7R, Tunggulwulung, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
"Warung Sate "" Sederhana """,083834455564,"Jl. Husni Tamrin No.04, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,tidak,
Sate Ayam & Kambing Sop Kambing Pak Jafar,03417770751,"2JFC+226, Jl. Bareng Raya IIJ, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116",kota malang,warung kambing,,
Warung Sate Gule Jowo,081234317939,"Jl. S. Supriadi No.46, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65147",kota malang,warung kambing,ada,
Cabang Sate Ayam & Kambing Barokah,087760367676,"Jl. Pisang Candi Barat No.43, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,ada,
Sate & Gule Kambing,,"Jl. Hamid Rusdi No.10, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
